
RISC-V Processor Debug Log
==========================
Session: 2025-07-07 03:29:26
Log File: logs/risc_v_debug_20250707_032926.log
==========================

[03:29:26.620] INFO    | 🚀 Simple Logger Started
[03:29:26.620] SUCCESS | 🖥️ Processor initialized with logging
[03:29:26.620] INFO    | 📂 Loading program from: src/examples/my_program.asm
[03:29:26.621] SUCCESS | Program loaded: 9 instructions
[03:29:26.621] INFO    | ▶️ Starting execution (max 100 cycles)
[03:29:26.621] INFO    | Cycle   0 | PC:0x0001 | 0x510F | addi x1, x0, -1 | {'reg_changes': {'x1': '0→15'}}
[03:29:26.622] INFO    | Cycle   1 | PC:0x0002 | 0x5203 | addi x2, x0, 3 | {'reg_changes': {'x2': '0→3'}}
[03:29:26.622] INFO    | Cycle   2 | PC:0x0003 | 0xA103 | beq x1, x0, 3
[03:29:26.622] INFO    | Cycle   3 | PC:0x0004 | 0x0332 | add x3, x3, x2 | {'reg_changes': {'x3': '0→3'}}
[03:29:26.622] INFO    | Cycle   4 | PC:0x0005 | 0x511F | addi x1, x1, -1 | {'reg_changes': {'x1': '15→30'}}
[03:29:26.622] INFO    | Cycle   5 | PC:0x0001 | 0xB10C | bne x1, x0, -4
[03:29:26.622] INFO    | Cycle   6 | PC:0x0002 | 0x5203 | addi x2, x0, 3
[03:29:26.622] INFO    | Cycle   7 | PC:0x0003 | 0xA103 | beq x1, x0, 3
[03:29:26.622] INFO    | Cycle   8 | PC:0x0004 | 0x0332 | add x3, x3, x2 | {'reg_changes': {'x3': '3→6'}}
[03:29:26.623] INFO    | Cycle   9 | PC:0x0005 | 0x511F | addi x1, x1, -1 | {'reg_changes': {'x1': '30→45'}}
[03:29:26.623] INFO    | Cycle  10 | PC:0x0001 | 0xB10C | bne x1, x0, -4
[03:29:26.623] INFO    | Cycle  11 | PC:0x0002 | 0x5203 | addi x2, x0, 3
[03:29:26.623] INFO    | Cycle  12 | PC:0x0003 | 0xA103 | beq x1, x0, 3
[03:29:26.623] INFO    | Cycle  13 | PC:0x0004 | 0x0332 | add x3, x3, x2 | {'reg_changes': {'x3': '6→9'}}
[03:29:26.623] INFO    | Cycle  14 | PC:0x0005 | 0x511F | addi x1, x1, -1 | {'reg_changes': {'x1': '45→60'}}
[03:29:26.623] INFO    | Cycle  15 | PC:0x0001 | 0xB10C | bne x1, x0, -4
[03:29:26.623] INFO    | Cycle  16 | PC:0x0002 | 0x5203 | addi x2, x0, 3
